Del_C:G_1_NA	Del_C:G_2_NA	Del_C:G_3_NA	Del_C:G_4_NA	Del_C:G_5_NA	Del_C:G_6+_NA	Del_T:A_1_NA	Del_T:A_2_NA	Del_T:A_3_NA	Del_T:A_4_NA	Del_T:A_5_NA	Del_T:A_6+_NA	Ins_C:G_0_NA	Ins_C:G_1_NA	Ins_C:G_2_NA	Ins_C:G_3_NA	Ins_C:G_4_NA	Ins_C:G_5+_NA	Ins_T:A_0_NA	Ins_T:A_1_NA	Ins_T:A_2_NA	Ins_T:A_3_NA	Ins_T:A_4_NA	Ins_T:A_5+_NA	Del_2bp_1_NA	Del_2bp_2_NA	Del_2bp_3_NA	Del_2bp_4_NA	Del_2bp_5_NA	Del_2bp_6+_NA	Del_3bp_1_NA	Del_3bp_2_NA	Del_3bp_3_NA	Del_3bp_4_NA	Del_3bp_5_NA	Del_3bp_6+_NA	Del_4bp_1_NA	Del_4bp_2_NA	Del_4bp_3_NA	Del_4bp_4_NA	Del_4bp_5_NA	Del_4bp_6+_NA	Del_5+bp_1_NA	Del_5+bp_2_NA	Del_5+bp_3_NA	Del_5+bp_4_NA	Del_5+bp_5_NA	Del_5+bp_6+_NA	Ins_2bp_0_NA	Ins_2bp_1_NA	Ins_2bp_2_NA	Ins_2bp_3_NA	Ins_2bp_4_NA	Ins_2bp_5+_NA	Ins_3bp_0_NA	Ins_3bp_1_NA	Ins_3bp_2_NA	Ins_3bp_3_NA	Ins_3bp_4_NA	Ins_3bp_5+_NA	Ins_4bp_0_NA	Ins_4bp_1_NA	Ins_4bp_2_NA	Ins_4bp_3_NA	Ins_4bp_4_NA	Ins_4bp_5+_NA	Ins_5+bp_0_NA	Ins_5+bp_1_NA	Ins_5+bp_2_NA	Ins_5+bp_3_NA	Ins_5+bp_4_NA	Ins_5+bp_5+_NA	Del_2bp_1_1bp	Del_3bp_1_1bp	Del_3bp_1_2bp	Del_4bp_1_1bp	Del_4bp_1_2bp	Del_4bp_1_3bp	Del_5+bp_1_1bp	Del_5+bp_1_2bp	Del_5+bp_1_3bp	Del_5+bp_1_4bp	Del_5+bp_1_5+bp
O132:3	1	1	4	2	0	0	2	2	2	0	0	9	0	0	0	1	0	1	0	2	0	2	0	16	0	2	1	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	1	1	0	3	0
O132:4	7	3	1	1	4	0	3	5	5	5	4	35	2	3	0	0	0	4	0	2	1	0	0	49	2	4	4	1	0	0	2	8	1	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	3	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	4	1	1	1	0	1	3	3	0	0	1
O132:5	6	4	0	0	0	0	1	2	2	3	1	13	0	1	0	0	0	1	1	1	4	1	0	17	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0
O132:6	6	6	2	3	1	1	2	3	2	1	1	8	0	0	0	1	0	1	0	1	1	0	0	18	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	2	1	0	1	2	1	1	1	0
O162:1	2	4	1	1	1	1	5	1	5	1	5	9	0	1	0	0	0	1	1	1	2	0	2	14	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	1	0	1	3	0	1	0	0	0
O162:2	2	1	1	2	0	0	0	0	3	0	0	3	0	1	0	0	0	0	0	1	0	1	0	7	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
O162:3	4	3	2	0	1	0	4	1	4	4	3	12	1	0	0	0	0	0	3	1	2	2	0	28	1	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	3	0	0	0	4	2	1	0	1
O162:4	5	5	4	2	0	0	4	4	1	6	5	7	0	1	0	0	0	1	1	2	0	2	1	30	1	4	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	7	0	0	0	0	0	1	3	0	2	2
O162:5	6	2	3	0	2	1	3	3	4	3	0	6	1	0	1	0	0	1	1	1	3	0	1	7	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	2	1	1	0	0	0	1	1	2	0	0
O162:6	1	0	0	0	0	0	2	0	0	0	2	2	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
O162:9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O174:1	3	1	1	1	0	2	31	3	0	2	0	4	0	1	0	0	0	0	2	3	1	0	1	11	1	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	2	0	0	1	0
O174:14	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O174:16	1	0	0	0	0	0	9	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
O174:2	3	1	5	2	1	1	57	1	3	2	4	1	0	1	0	1	0	3	0	0	0	0	0	5	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	1	0	0
O174:3	0	0	0	0	0	0	4	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O174:4	1	0	0	0	0	0	10	2	0	3	1	0	0	0	0	0	1	0	0	2	0	1	0	5	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
O174:5	2	1	0	0	1	0	6	1	3	1	2	5	1	1	0	0	0	0	0	0	1	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	1	1	0
O174:6	1	1	0	2	0	0	28	1	0	1	1	2	0	1	0	1	1	2	2	2	0	0	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0
O174:7	6	4	2	2	0	2	41	2	2	1	1	2	0	0	0	1	0	1	1	2	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	2	0	0
