Del_C:G_1_NA	Del_C:G_2_NA	Del_C:G_3_NA	Del_C:G_4_NA	Del_C:G_5_NA	Del_C:G_6+_NA	Del_T:A_1_NA	Del_T:A_2_NA	Del_T:A_3_NA	Del_T:A_4_NA	Del_T:A_5_NA	Del_T:A_6+_NA	Ins_C:G_0_NA	Ins_C:G_1_NA	Ins_C:G_2_NA	Ins_C:G_3_NA	Ins_C:G_4_NA	Ins_C:G_5+_NA	Ins_T:A_0_NA	Ins_T:A_1_NA	Ins_T:A_2_NA	Ins_T:A_3_NA	Ins_T:A_4_NA	Ins_T:A_5+_NA	Del_2bp_1_NA	Del_2bp_2_NA	Del_2bp_3_NA	Del_2bp_4_NA	Del_2bp_5_NA	Del_2bp_6+_NA	Del_3bp_1_NA	Del_3bp_2_NA	Del_3bp_3_NA	Del_3bp_4_NA	Del_3bp_5_NA	Del_3bp_6+_NA	Del_4bp_1_NA	Del_4bp_2_NA	Del_4bp_3_NA	Del_4bp_4_NA	Del_4bp_5_NA	Del_4bp_6+_NA	Del_5+bp_1_NA	Del_5+bp_2_NA	Del_5+bp_3_NA	Del_5+bp_4_NA	Del_5+bp_5_NA	Del_5+bp_6+_NA	Ins_2bp_0_NA	Ins_2bp_1_NA	Ins_2bp_2_NA	Ins_2bp_3_NA	Ins_2bp_4_NA	Ins_2bp_5+_NA	Ins_3bp_0_NA	Ins_3bp_1_NA	Ins_3bp_2_NA	Ins_3bp_3_NA	Ins_3bp_4_NA	Ins_3bp_5+_NA	Ins_4bp_0_NA	Ins_4bp_1_NA	Ins_4bp_2_NA	Ins_4bp_3_NA	Ins_4bp_4_NA	Ins_4bp_5+_NA	Ins_5+bp_0_NA	Ins_5+bp_1_NA	Ins_5+bp_2_NA	Ins_5+bp_3_NA	Ins_5+bp_4_NA	Ins_5+bp_5+_NA	Del_2bp_1_1bp	Del_3bp_1_1bp	Del_3bp_1_2bp	Del_4bp_1_1bp	Del_4bp_1_2bp	Del_4bp_1_3bp	Del_5+bp_1_1bp	Del_5+bp_1_2bp	Del_5+bp_1_3bp	Del_5+bp_1_4bp	Del_5+bp_1_5+bp
O189:5	6	1	3	2	1	3	4	4	3	3	6	16	1	0	0	0	0	2	0	2	1	0	5	39	0	4	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	7	0	0	0	0	1	1	0	1	1	0
O189:6	4	3	0	1	2	2	3	3	1	4	2	24	0	1	0	1	0	2	0	7	3	0	1	34	2	4	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	2	0	1	0	1	0	2	1	0	0	0
O189:7	3	0	1	1	0	0	1	1	1	2	2	14	0	0	0	0	0	2	0	3	0	1	0	30	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	2	0	1	0	2	2	2	0	0
O193:1	1	1	0	0	1	1	3	2	4	2	1	0	1	0	0	0	0	1	0	2	0	0	0	7	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
O193:11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O193:17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O193:2	6	3	0	2	0	1	3	1	3	2	2	8	3	2	1	1	0	0	0	1	0	1	1	16	1	0	1	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	2	1	0	0	0	0	0	1	1
O193:3	1	4	1	0	0	1	3	2	3	1	0	11	0	0	0	0	0	2	0	2	0	1	2	18	1	3	0	0	0	0	0	6	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0
O193:4	3	1	4	0	0	0	2	2	0	0	1	7	0	1	0	1	0	0	0	2	0	0	0	4	0	2	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0
O193:5	5	1	2	1	0	0	1	4	1	1	1	2	1	0	0	0	0	1	0	0	0	2	0	4	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
O193:6	2	3	1	0	0	1	2	0	0	2	2	4	0	1	0	0	1	0	0	1	0	0	0	10	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0
O193:7	5	2	1	0	0	0	2	2	1	1	1	1	0	0	0	0	0	0	0	0	2	0	0	7	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
O193:8	2	3	1	2	0	0	3	1	0	2	1	6	1	0	0	0	0	1	1	0	2	0	2	18	0	1	1	0	0	0	0	3	0	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	0	2	0	1	1	0	0	0	0	0
O193:9	1	1	1	1	0	0	2	2	2	2	2	4	1	0	0	1	0	0	1	1	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0
O208:1	3	2	0	1	1	2	5	2	3	1	0	5	1	0	1	0	0	0	1	3	0	1	1	21	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
O208:10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O208:11	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
O208:2	2	2	2	2	1	0	2	2	0	4	4	5	1	0	0	0	0	2	0	2	1	2	2	14	0	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	4	0	1	2	2	0	1	0	1	0	0
O208:3	5	6	3	1	0	0	10	4	2	5	5	10	0	0	0	1	1	2	2	2	0	3	1	26	1	4	1	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	2	1	1	2	0	0
O208:4	1	0	1	1	1	0	10	3	2	1	4	1	0	1	0	0	0	4	0	1	0	0	0	16	0	3	1	0	0	0	0	1	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	1	3	0	0	0	1
O208:5	7	5	2	0	0	0	13	5	2	2	3	13	0	0	0	0	0	2	0	3	1	3	0	23	2	2	1	0	0	0	1	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	2	1	1	0	1
O208:6	4	2	1	0	1	1	9	1	0	0	2	3	1	0	0	0	1	2	0	1	2	1	1	18	1	0	2	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	1	1	1	0	1	1
O208:8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O225:1	0	2	2	0	0	0	2	0	0	2	1	4	0	0	0	0	0	1	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0
O225:15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O225:16	0	0	0	0	0	0	0	3	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
O225:2	1	3	0	1	0	0	4	0	2	2	2	1	0	0	0	0	0	1	1	0	0	0	0	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
O225:3	3	0	0	0	0	0	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	0	0
O225:4	3	6	2	0	1	0	4	2	1	6	3	5	0	0	0	0	0	0	0	2	2	1	0	6	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	0	1	0	0	0	2	1	0	1	0
O225:5	1	1	3	0	1	2	2	4	4	1	2	3	0	0	1	0	1	1	0	1	0	1	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	2	0	1	0	1	1	0	1	0	1	0
O225:6	1	0	0	0	0	0	8	10	7	17	3	2	0	0	0	0	0	0	0	0	1	1	1	6	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0
O225:7	1	3	0	0	2	0	1	1	5	4	3	2	0	1	0	0	0	0	0	0	0	0	0	4	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
O225:8	1	1	1	0	0	0	4	11	5	15	3	6	0	0	0	0	0	1	1	0	1	1	0	4	0	2	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1
O225:9	2	1	1	2	1	0	1	1	1	2	1	4	0	2	0	0	1	1	0	0	1	0	0	11	0	3	1	1	0	0	1	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	0	0	1	2	0	1	0	1
O232:1	2	4	1	0	0	1	2	0	1	1	2	7	0	0	0	0	0	0	0	1	0	0	0	27	0	1	0	1	0	0	0	3	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	1	0	0	0	1	1	1	0	0
O232:12	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O232:13	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O232:2	2	0	1	1	0	0	4	4	2	6	2	2	0	1	0	0	0	0	1	2	1	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0
O232:3	1	0	2	2	0	1	6	5	8	11	3	5	0	1	0	0	1	0	0	0	0	1	1	9	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1
O232:4	1	4	1	1	1	1	5	10	5	12	2	5	0	0	0	0	0	0	0	2	0	0	1	12	2	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1
O232:5	3	3	1	1	0	0	5	0	1	0	1	2	0	0	0	0	0	0	0	1	0	1	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
O232:6	4	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	3	0	0	0
O232:7	3	1	0	3	0	0	5	2	2	3	4	4	0	0	0	0	0	0	1	2	0	2	1	12	0	1	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0
O232:8	3	2	4	1	2	0	2	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	12	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
O244:1	4	8	2	1	2	0	4	3	1	1	5	7	0	0	0	0	0	1	0	0	1	1	0	9	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	1	1	1	1	0
O244:11	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
O244:12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O244:2	4	1	1	1	0	0	3	0	1	0	1	2	1	0	0	0	0	0	0	2	0	1	0	10	1	0	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
O244:3	1	2	0	0	0	0	0	1	1	1	0	3	0	1	0	0	0	1	0	0	0	1	1	9	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0
O244:4	1	2	0	0	0	1	1	1	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0
O244:5	5	5	1	0	0	0	2	3	4	3	4	9	0	0	0	0	1	2	1	2	2	0	1	23	0	3	1	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0
O244:6	7	2	0	3	2	0	4	1	4	3	4	4	0	1	0	0	0	0	0	1	0	0	0	16	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	2	0	0	0	0
O244:7	1	6	1	1	1	0	2	4	1	1	0	5	0	1	0	0	0	3	0	2	0	0	2	14	2	2	0	1	0	0	1	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	3	0	0	0	1	0	1	1	1	0	0
O251:1	5	2	3	1	0	0	0	2	3	1	0	3	0	0	0	0	0	1	0	2	2	0	1	13	1	1	0	0	0	0	0	4	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	2	0	0	0
O251:11	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O251:15	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O251:16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O251:2	1	2	1	0	0	0	4	1	1	3	2	7	0	0	0	0	0	0	1	4	0	2	0	4	1	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
O251:3	0	4	0	0	0	2	4	0	1	1	1	7	0	0	0	0	0	0	0	1	3	1	0	9	0	7	0	0	0	0	0	3	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0
O251:4	1	0	0	1	0	0	4	1	0	0	1	8	0	0	0	0	0	0	1	2	0	0	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0
O251:5	5	1	0	2	0	0	6	3	5	4	0	9	2	0	0	0	0	2	2	5	3	1	1	18	1	4	2	0	1	0	0	4	1	0	0	0	0	3	1	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	2	0	0	1	0	1	5	1	0	2	0
O251:6	6	2	2	0	0	0	5	3	1	4	1	9	0	1	0	0	0	1	0	1	0	1	1	25	2	1	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	0	1	0	2	1	0	1
O251:7	5	6	2	4	2	2	9	9	9	4	5	22	0	0	0	3	0	2	0	4	2	1	0	46	1	3	0	0	0	0	1	3	1	0	0	0	0	2	2	0	0	0	1	1	0	0	0	0	2	1	0	0	1	1	1	0	0	0	0	0	2	2	0	0	1	0	0	7	0	0	0	0	1	0	4	1	0	7	2	2	1	0	0
O251:8	8	7	2	0	1	2	15	6	5	5	3	21	1	2	0	1	0	4	3	6	1	1	0	38	1	1	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	4	0	1	2	1	1	3	1	0	0	1
O251:9	14	4	3	2	0	0	10	7	8	11	5	18	0	1	0	0	0	1	0	2	0	1	1	40	1	1	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	5	0	1	1	1	3	0	1	0	0	1
O311:1	7	2	2	0	1	2	4	5	4	2	1	8	1	0	0	0	0	0	1	1	1	1	0	13	0	1	0	0	0	0	1	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0
O311:2	1	2	1	2	0	2	6	4	4	3	3	12	4	1	0	0	1	2	0	1	0	0	0	18	0	2	1	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	1	0	2	0	3	0
O311:3	1	1	0	1	0	0	9	2	2	4	0	5	0	0	0	1	0	1	0	2	0	0	0	13	1	2	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	1	0	0	0	0
O311:5	5	4	0	1	0	1	13	13	13	33	16	9	0	1	0	0	1	0	0	1	1	2	1	16	0	4	0	0	0	0	0	3	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	1	0	0	1	3	2	2	1	0
O311:7	1	0	0	0	0	0	12	8	5	8	5	8	0	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0
O325:1	7	4	4	0	0	1	7	7	9	22	8	7	1	1	0	0	0	1	0	4	0	0	1	20	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	2	0	0
O325:11	0	0	0	0	0	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1
O325:12	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
O325:16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
O325:17	0	0	0	0	0	0	3	4	4	6	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
