IDA	IDB
0.00586180701140801	0.0437140254658175
0.00998177087013953	0.0143229536142187
0.00158064821362134	0.0169264923122014
0.000400392493474502	0.0190948799773195
0.00276107926488828	0.00307932878799142
0.00167773099677794	0.0100747984795607
0.0959385786572665	0.563927166699646
0.144685894818993	0.0173813906772251
0.119133095091577	0.00934542850626827
0.30121135002092	0.0169012545376124
0.109731218059139	0.0150827127544176
0.0614624272331083	0.00803320019812613
0.00101016537165986	0.00121703438937744
0.00236176103974281	0.00752423871700278
0.000390040962225482	0.00243604863291227
0.000233350747873161	0.0117706105055056
0.000734805715570106	0.00760854736058929
0.00220631588967087	0.0155750332678879
0.00224082119407224	0.0124653897581637
0.00329276236562221	0.0265590373661043
0.00222731843069249	0.00213992098321803
0.00387878934714246	0.00694919276741596
0.0112623385169135	0.00199291926745171
0.0228623434487294	0.0173995417230572
0.0026397480983059	0.00342654961792588
0.0109644630238943	0.0135611797663297
0.00259541742487909	0.00771539413947901
0.000776900042736159	0.00314322686169147
0.000126578050362084	0.00369071966999942
0.000202957964767853	0.00020338670846288
0.00123517120594811	0.00265575697977424
0.00500097666598449	0.00341919261653851
0.00160489076947072	0.00209209123814804
0.000103781476430166	0.00184334835512258
0.000243584590695946	0.000121102460154691
2.76761700397307e-05	0.000113955614920458
0.00086282857019363	0.001763469701845
0.00107269708638353	0.00407739556028718
0.000437209206617879	0.00223367700083737
0.00030185469125697	0.000410150400924495
2.12153963778008e-05	7.11092059002718e-05
0.000218883023421062	0.000238128688430146
0.00502867634617736	0.012524372461684
0.00118033609396851	0.00442564914431522
0.000240584040212214	0.000692047145090777
1.20995467072079e-05	0.000160319555741516
0	0
0	0
0.000669110402805322	0.002935616034437
0.00483985699596423	0.0026843371750991
0.011105846396388	0.000425257818765938
0.000859104153197503	0.00282557152924728
0.000391659284775556	0.000967483099479727
0.000601980588317567	0.000521691370350008
0.000587308372828607	0.000758246014556893
0.000603642195631682	0.00433149667531877
0.000508086475239786	0.000453385979293688
4.04555269843283e-05	0.00116308039821434
5.57037995142102e-05	0.00049870144730958
0.000121306484468979	0.000245105855474742
8.35892026569645e-05	0.00039854503117921
0.000699589679834704	0.00116784092280062
0.000341385048481276	1.20364473350873e-05
0.00014256559232276	0.000114400596751227
0.000315633329311927	5.80513399053045e-05
7.58979682991192e-05	0.000783292682792829
0.000634673904751451	0.000685462540787188
0.000538276938179805	0.00309215799403702
0.000169509041984523	1.72727524813669e-05
0.000118818425863848	0.000864639880556102
0.000232593162060279	1.74774656547998e-05
1.9834771609689e-06	3.27832056264879e-06
0.00630989314023427	0.00575282953426466
0.00134566055306799	0.000261479831250746
0.00263832091467108	0.00475445382154072
0.00181374979564073	0.00203055678827521
0.00133081273384075	0.00249024991728416
0.000717336581585336	0.00375168002851033
0.00455823479387202	0.0200296703943704
0.00750572298186094	0.0056920960284448
0.00491221574695564	0.0073996650802209
0.00241278225624858	0.00120375441638617
0.000691358808940448	0.00150576514436788
